OrdemN, IJ, JI
67, 0.000034, 0.000032
1019, 0.006493, 0.007903
2075, 0.025973, 0.056195
3083, 0.052817, 0.128193
4091, 0.093457, 0.239934
5080, 0.142143, 0.376676
6097, 0.201900, 0.551279
7058, 0.301246, 0.758766
8100, 0.353893, 1.052323
9013, 0.439464, 1.337009
10068, 0.563032, 1.772076
11076, 0.666518, 2.268014
12071, 0.834532, 3.195797
13076, 0.972510, 3.734012
14056, 1.116790, 4.362294
15098, 1.290960, 5.228836
16009, 1.467070, 5.849325
17099, 1.640925, 6.808382
18072, 1.842614, 8.556054
19036, 2.052234, 9.352590
20088, 2.275280, 10.673682
21059, 2.496119, 11.280354
22062, 2.675382, 13.727992
23064, 2.998835, 15.745202
24046, 3.243945, 16.068166
25078, 3.519890, 18.949509
26086, 3.868317, 25.450758
27071, 4.180247, 28.173410
28021, 4.461119, 31.412944
29025, 4.584672, 32.334925
30037, 4.920460, 37.127870
