ordemN, IJ, JI
         149 ,   1.1799999999999962E-004 ,   1.0000000000001327E-006
        1475 ,   2.5900999999999997E-002 ,   0.0000000000000000     
        2508 ,   8.4624999999999992E-002 ,   1.0000000000010001E-006
        3559 ,  0.19379999999999997      ,   2.0000000000020002E-006
        4842 ,  0.36317099999999991      ,   2.0000000000575113E-006
        5411 ,  0.47739799999999999      ,   9.9999999991773336E-007
        6428 ,  0.70492800000000022      ,   1.0000000001397780E-006
        7405 ,   1.0221930000000001      ,   1.0000000001397780E-006
        8376 ,   1.3016150000000000      ,   9.9999999925159955E-007
        9769 ,   1.8671370000000005      ,   2.0000000002795559E-006
       10964 ,   2.4976070000000004      ,   2.0000000002795559E-006
       11227 ,   2.6955329999999993      ,   1.9999999985031991E-006
       12805 ,   3.6814199999999992      ,   9.9999999747524271E-007
       13562 ,   4.1900080000000024      ,   9.9999999747524271E-007
       14407 ,   4.7993069999999989      ,   2.0000000020559128E-006
       15882 ,   6.0870399999999947      ,   1.8099999999776628E-004
       16337 ,   6.5493989999999940      ,   1.9999999949504854E-006
       17473 ,   7.7085739999999987      ,   9.9999999747524271E-007
       18287 ,   8.6919809999999984      ,   9.9999999747524271E-007
       19631 ,   10.409852000000001      ,   9.9999999747524271E-007
       20257 ,   11.392135999999994      ,   9.9999999747524271E-007
       21769 ,   13.976213000000001      ,   1.0000000116860974E-006
       22403 ,   15.247388999999984      ,   9.9999999747524271E-007
       23508 ,   17.278690999999981      ,   9.9999999747524271E-007
       24531 ,   19.816103999999996      ,   1.9999999949504854E-006
       25100 ,   21.155758000000020      ,   9.9999999747524271E-007
       26698 ,   24.239148000000000      ,   9.9999999747524271E-007
       27958 ,   28.853792999999996      ,   9.9999999747524271E-007
       28019 ,   29.463087000000030      ,   1.9999999949504854E-006
       29075 ,   32.180365999999992      ,   9.9999999747524271E-007
       30977 ,   50.537780999999995      ,   1.9999999949504854E-006
